year,link,name
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Bradley Cooper - ""Maestro"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Colman Domingo - ""Rustin"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Paul Giamatti - ""The Holdovers"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Jeffrey Wright - ""American Fiction"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Sterling K. Brown - ""American Fiction"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Robert De Niro - ""Killers of the Flower Moon"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Ryan Gosling - ""Barbie"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Mark Ruffalo - ""Poor Things"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Annette Bening - ""Nyad"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Lily Gladstone - ""Killers of the Flower Moon"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Sandra Hüller - ""Anatomy of a Fall"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Carey Mulligan - ""Maestro"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Emily Blunt - ""Oppenheimer"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Danielle Brooks - ""The Color Purple"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"America Ferrera - ""Barbie"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Jodie Foster - ""Nyad"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Peter Sohn and Denise Ream - ""Elemental"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Nick Bruno, Troy Quane, Karen Ryan and Julie Zackary - ""Nimona"""
